,ID,file,dataset,area,genotype,node,base_x,base_y,tip_x,tip_y
1,1001,1001-27.jpg,apple,14.717,Malus domestica,NA,7580,5841,7289.167,2433.5
2,1001,1001-29.jpg,apple,13.672,Malus domestica,NA,1232,5824,639.5,2543.5
3,1001,1001-30.jpg,apple,15.943,Malus domestica,NA,5648,5968,4959.5,2879.5
4,1001,1001-31.jpg,apple,17.978,Malus domestica,NA,2272,4800,2895.5,8703.5
5,1001,1001-32.jpg,apple,15.613,Malus domestica,NA,6928,4976,6975.5,8319.5
6,1001,1001-33.jpg,apple,15.08,Malus domestica,NA,4417,5252,4800.5,8485.5
7,1001,1001-34.jpg,apple,12.194,Malus domestica,NA,768,5522,803.5,8761.5
8,1010,1010-682.jpg,apple,13.813,Malus domestica,NA,5141,348,7948.5,1361.5
9,1010,1010-683.jpg,apple,11.039,Malus domestica,NA,5744,1620,2515.5,1619.5
10,1010,1010-685.jpg,apple,16.142,Malus domestica,NA,972,5532,755.5,2045.5
11,1010,1010-688.jpg,apple,18.152,Malus domestica,NA,4579,5064,5602.5,8775.5
12,1010,1010-689.jpg,apple,17.927,Malus domestica,NA,1758,5140,1043.5,8883.5
13,1010,1010-691.jpg,apple,16.274,Malus domestica,NA,3352,5810,3291.5,8857.5
14,1014,1014-2-693.jpg,apple,35.442,Malus domestica,NA,5443,5400,5346.5,631.5
15,1014,1014-2-694.jpg,apple,30.783,Malus domestica,NA,2624,5304,2695.5,711.5
16,1014,1014-2-695.jpg,apple,40.303,Malus domestica,NA,6595,3288,6594.5,8407.5
17,1014,1014-2-696.jpg,apple,38.054,Malus domestica,NA,1360,3840,823.5,8567.5
18,1014,1014-2-697.jpg,apple,31.55,Malus domestica,NA,4196,4020,3979.5,8595.5
19,1014,1014-699.jpg,apple,40.248,Malus domestica,NA,2440,5384,2855.5,367.5
20,1014,1014-701.jpg,apple,40.228,Malus domestica,NA,3839,3788,4182.5,8563.5
21,1014,1014-702.jpg,apple,31.277,Malus domestica,NA,1224,4084,975.5,8715.5
22,1014,1014-703.jpg,apple,30.632,Malus domestica,NA,6851,4328,6818.5,8735.5
23,1023,1023-706.jpg,apple,25.743,Malus domestica,NA,6348,2560,2131.5,687.5
24,1023,1023-707.jpg,apple,20.84,Malus domestica,NA,376,6176,1543.5,1583.5
25,1023,1023-708.jpg,apple,14.078,Malus domestica,NA,5939,5514,7498.5,2267.5
26,1023,1023-709.jpg,apple,15.542,Malus domestica,NA,2124,5844,3467.5,2627.5
27,1023,1023-710.jpg,apple,17.19,Malus domestica,NA,4191,6372,4826.5,2675.5
28,1023,1023-711.jpg,apple,23.022,Malus domestica,NA,3764,4408,2499.5,9047.5
29,1023,1023-712.jpg,apple,17.682,Malus domestica,NA,7043,4598,6616.5,8725.5
30,1029,1029-2-727.jpg,apple,26.936,Malus domestica,NA,1088,5908,1183.5,1203.5
31,1029,1029-2-728.jpg,apple,19.323,Malus domestica,NA,3965,5304,3988.5,1223.5
32,1029,1029-2-729.jpg,apple,21.551,Malus domestica,NA,5909,5342,6130.5,1417.5
33,1029,1029-2-730.jpg,apple,25.304,Malus domestica,NA,6665,4228,6466.5,8487.5
34,1029,1029-2-731.jpg,apple,26.468,Malus domestica,NA,2380,4294,2007.5,8705.5
35,1029,1029-2-732.jpg,apple,22.95,Malus domestica,NA,4913,4544,4528.5,8851.5
36,1029,1029-734.jpg,apple,20.439,Malus domestica,NA,3084,5166,3419.5,1187.5
37,1029,1029-735.jpg,apple,25.931,Malus domestica,NA,6233,5742,6052.5,1277.5
38,1029,1029-736.jpg,apple,26.248,Malus domestica,NA,1408,4062,1607.5,8461.5
39,1029,1029-737.jpg,apple,24.166,Malus domestica,NA,4385,4096,4822.5,8233.5
40,1031,1031-2-474.jpg,apple,21.687,Malus domestica,NA,3284,1248,6867.5,1191.5
41,1031,1031-2-475.jpg,apple,27.532,Malus domestica,NA,1840,5650,1655.5,1897.5
42,1031,1031-2-476.jpg,apple,25.171,Malus domestica,NA,3973,5982,3810.5,2069.5
43,1031,1031-2-477.jpg,apple,25.192,Malus domestica,NA,6426,5644,6557.5,2139.5
44,1031,1031-2-478.jpg,apple,20.187,Malus domestica,NA,1122,5080,905.5,8871.5
45,1031,1031-2-479.jpg,apple,19.421,Malus domestica,NA,3083,5120,2800.5,8629.5
46,1031,1031-483.jpg,apple,20.867,Malus domestica,NA,6288,6658,5291.5,3183.5
47,1031,1031-484.jpg,apple,17.626,Malus domestica,NA,2045,7936,3040.5,4593.5
48,1035,1035-740.jpg,apple,15.466,Malus domestica,NA,5917,1848,1739.5,2183.5
49,1035,1035-741.jpg,apple,16.136,Malus domestica,NA,588,5448,1331.5,2421.5
50,1035,1035-742.jpg,apple,13.187,Malus domestica,NA,3985,6220,5064.5,2703.5
51,1035,1035-744.jpg,apple,16.411,Malus domestica,NA,1800,6320,3279.5,2943.5
52,1035,1035-748.jpg,apple,14.983,Malus domestica,NA,2848,5558,3393.5,9145.5
53,1037,1037-2-531.jpg,apple,22.804,Malus domestica,NA,5769,5760,5204.5,1313.5
54,1037,1037-2-533.jpg,apple,24.416,Malus domestica,NA,6558,4142,6893.5,8245.5
